651963511854206977***,***PAL CIELO Tania Cirilo - Cuando Llora Mi Guitarra https://t.co/EWd328dQsb via @YouTube
649640239431090176***,***@TVN lata que den 30 min. del capt. anterior y 10 del nuevo capit. todos los dias lo mismo. paso con la chucara que FOMEEEE
647629010114080769***,***#primerplano EN LOS 90 no habian estos medios buu ,, fran gritandole a cristian porque esas m... te abrazan asi cuando el bajo del escenario
586583310694010880***,***"@gonzalofeito: #NataliaCompagnon , dice :Soy una emprendedora" ... Eres una fresca sinverguenza ella su marido y otra mas." #Carasderaja
586582305147334656***,***Que verguenza la politica y su #politicoschilenos es un verdadero asco... que verguenza ajena
574220823281713152***,***@thecliniccl capitan yaber es un resort donde tiene hasta perkin para sus que haceres.. la igualdad donde estos son verdaramente delicuentes
572414655055986688***,***#Sqp @Sqpoficial canal 13 tiende a cambiar la imagenes o el pasado sus estrellitas del momento. Paso con dominique gallegos
572399808364847104***,***@muchogustoMEGA @Mega callen a la vieja le quita las palabras al odontologo de la boca que vieja mas sin educacion
572398935848951808***,***@muchogustoMEGA callen a la vieja @&amp;@@)#%£ que no deja hablar al odontologo ni a nadie
568957450923200513***,***#Gala2015 http://t.co/ZfeZZsXsuZ
567148165871435776***,***RT @ChechiLagosA: "@TrendieWW: "#FestivalDeAntofagasta" is now trending at rank 3 world wide" bien por #Antofagasta
566793969569632256***,***#FestivalDeAntofagasta es el cumpleanos de antofagasta
566793688287043584***,***@canal13 ojo es el cumpleano de antofagasta el festival es coincidencia con el dia de san valentin
561344186340085762***,***@pangalkayak Antofagasta contaminado no + acopio de cobre dentro de nuestra ciudad. Retwittear http://t.co/xKayIzj7Zt
561343417918435328***,***No + acopio de concentrado de cobre en nuestra ciudad ninos contaminados Estan matando nuestra ciudad. @biobio http://t.co/Di0oXKO4Ns
561189903061770240***,***@Aguas_Antof se puede ir a visitar
561188694150119424***,***@ChefCarpentier mi apoyo la cocina es una profesion en nuestras mano estan muchas vidas. No el la de los aficionados
561188274530942976***,***@GlamoramaCL @intrusoslared @ChefCarpentier la cocina es una profesion oigan el titulo no lo entregan con un mes de practica. Mas respecto.
561186772772982785***,***#antofagasta sin contaminacion
561186557252866048***,***#fuera galpones de acopio en antofagasta
561181904670830593***,***@Sqpoficial la cocina es una profesion y pondriana cualquier persona a ser cargo de alguna linea. Editorial
561180368242737152***,***@Sqpoficial  No puedes colocar a un aficionado frente. La cocina es mas que eso recuerden que en las manos de un chef estan sus vidas.
560476614535184384***,***#intrusoslared la mejor chef de todos los tiempo #cocinando con monica... Ojo mujer pionera en la cocina televisada
560475668518297600***,***#intrusosenlared si a nosotras las cocineras siempre costo mi se estudiaba y despues se integrada en la cocina. Error cocina = $ es 💗 arte
515326540041973762***,***#TopChefTVN oohh me  recuerda mi examen de grado que tension. voy calienteeee¡¡¡¡Jsjaja
507013552948117504***,***RT @SVidela1: Manana 14:00 desde la IMA partimos en bus a #Santiago para exigir #SaludparaElNorte @Copano @biobio #Antofagasta  @elnortero
503039394421678080***,***Jajaja al que mandaron a defender a la vieja mala deberian haber mandado a la care cuika jajaja indefendible olvidar a un hijo #PrimerPlano
497555105915600896***,***LUIS JARA "Las cosas cambian" CON LETRA: http://t.co/XlkvBc8OEL @Luisjaraoficial como me hace llorar este temon. Bendiciones
488882618021466112***,***Tanto que llore y corri por ver a #pablitoruiz me gaste cada mesadas en poster y revistas de el. Jejeje se me cayo el carnet
487801832274927616***,***Bienvenida beausejour al campeon de chile grande colo colo
487799501537955840***,***@pytevuvoqix @ReporteChile okis
484539641752977408***,***#beausejourenlamovida Riko, inteligente un caballero sangre mapuche grande guerrero
484530975943450624***,***#beausejourenlamovida Negroo rikoooo me encanta noo me facina riko riko
483398509606236160***,***@MedelPitbull http://t.co/e6mNklH9j7
483395510028763136***,***Lejos eres lo mejor eres un grande @MedelPitbull
456784150138060801***,***@buenosdiatodos  mi abuela murio a los 23 ANOS MI MAMA TIENE UNA DIABETES Y AHORA  MI CUELLO LLENO DE lunar  DE CARNE  ESTO ES  DE DIABETes
453869972553347072***,***@buenosdiatodos aqui en antofagasta la taza mas alta de cancer vesical producto del agua mas dura de todo chile y lo peor la nada cara
438169227908767744***,***Mish y argentino Jjaaa wueno wueno #Festivaldevina2014
429269614858493952***,***@sqpoficial se hace la mosquita muerta la krisna tratar asi a la Yasna y recular y ahora burlarse de los evangelicos se hace la wueona
426156018741956608***,***Asi no mas pe http://t.co/bDbeAzxJza
414071088985829377***,***http://t.co/2GJjPsCI9P
412381002304999424***,***Ni cagando gasto tres lukas en pasaje en ir a votar por estas viejas de mierdas. Buena tarde en la playa con los peques
410207045774630912***,***@andresbaile fue hace tres semanas aprox.en soufh pacific antofagasta
410172220951240705***,***Este es otro lulaso jajaja @andresbaile http://t.co/DeW2Wgukc0
410171781115564032***,***http://t.co/3LMQmbR9MV
408110173639548929***,***Temploooorr4rrrr¡¡¡¡¡¡
406918275788832768***,***@tv_monica bendiciones los ninos no mueren solo se van al cielo. Que dios le de paz a tu corazon.
406825487239888896***,***RT @romarinp: Amigos porfa... es mi primo, se perdio anoche, Se llama Fernando Bustos, mide 1.80... cualquier info a 8199 75 49 RT! http://…
405152368477487104***,***RT @hotelrapanui: •Isla de Pascua, Nuestra pagina en facebook, para que nos regales un ME GUSTA http://t.co/gSWUtFNYh2 … … … … … … …http://…
402228001825255424***,***Que pena chile da un paso atras. Un fiasco la nueva pilleria.
402045624293416960***,***@AntofagastaTV pagina servel para consultas esta caida
402044647041536002***,***Pagina servel consultas caida.   :-(
401745938324013056***,***RT @hotelrapanui: Vas a Rapa Nui ... recuerda tu reserva on line en http://t.co/pxKk8oLyMB
400705712570900480***,***http://t.co/uHDStHLu47 PARECE QUE NO TENEMOS MEMORIA .. NO MAS BACHELET
398806973409280000***,***all my love ... Led zeppelin
396835436942737408***,***@copano pides respecto al mundo gay y que pasa con el mundo cristiano evangelico
396834669259268096***,***#alfombrarojaprime Bien Patito Dios te siga dando las fuerza para luchar tienes las armas dios te bendiga.
395945883914629120***,***mama mama me puedo disfrazar de la u en halloween.. hijo la idea es que des miedo no pena. Jajaja
395372729949360128***,***Aumento mamario ??? Aumento de salario???
395368048019791872***,***Vieja mentirosa y cobarde¡¡¡¡¡
395362418731122688***,***@andresbaile para ensenarnos la forma en que nos cagan
395362139654742016***,***http://t.co/6zZrwpwtfl
393573299935907840***,***@VertigoCanal13 #ArielLevy
391745265780002816***,***@PANCHOSAAVEDRA que te paso??? Espero que estes bien. Bendiciones
391576231113527297***,***Viendo y escuchando a @lucho jara en @zonalatina_pro
390306077805670400***,***http://t.co/AbByDQk5cs
390304185180487680***,***Grande chileeeee mmmm http://t.co/ix5c5veV4A
383059393807265792***,***@TherealLarrymoe que malos actores¡¡¡¡ Que mal programa.. Fuel a #SolteraOtraVez2
383015933285265408***,***RT @fuentesilva: RT @MurdockOficial: Viejas culias sin memoria que votaran por Bachelet #ActitudWeona / se viene otro video disculpa lagart…
381609001617596417***,***Descansa viejo.lindo@PANCHOSAAVEDRA @ricartesotovrai http://t.co/T5lrjl9ak9
381606197549223936***,***Hay hombres que luchan un dia y son buenos. Hay otros que luchan un ano y son mejores. Hay quienes luchan muchos anos,Pero hay..#ricartesoto
381603984969961472***,***@buenosdiatodos #ricartesoto http://t.co/RZrFvqzfC9
381210022178336768***,***@ricartesotovrai Adios viejo lindo que Dios bendiga a tu familia
380562072050073600***,***Aqui en antofagasta en vez de fiesta de chile parece fiesta colombiana naa nos invadieron por completo  :-(
379298170821693440***,***@ReymondReal bello bello saludos desde chile
370774099926478848***,***@hectormorals lejos deberias haber ganado... Pero filo eres lejos un muy buen actor.carinos
368744863904198656***,***@vmoulian hoy SE cumplen 20 anos de los simpson 24 horas en canal fox
368740070045401089***,***@vmoulian hoy se cumplen 20 anos de los simpson hoy 24 horas en fox mis hijos felices
368580472596475904***,***@_PrimerPlano saludos y bendiciones al pelao cantin
367044387680694274***,***Cumpleanos.del gran musico aguate CERATTi
365889990300925953***,***@intrusoslared cara de juguete dicese de la personas que tienen la sonrrisa pegada en la cara asi como las munecas
365259769788891137***,***@SaVOficial @pamelafiera dijo la pica jajaja
362778065882976256***,***RT @andresbaile: Necesito modelos y bailarinas en Antofagasta!! Tratar aca!!
362777894801510401***,***RT @PANCHOSAAVEDRA: Manana me preparo para apoyar a la gran @lorebosch en #vertigo . Los quiero a todos Ahi
362581313619894274***,***@KarendTV hasta siempre primera dama
362581038142205952***,***@buenosdiatodos hasta siempre Nuestra primera dama:-)
362207408560422913***,***La vida no viene con control remoto.. Asi que parate.y cambiala
362205202612355072***,***@danielexhuevo fuerza Dios conoce tus necesidades .. Buen dia
360755121648435202***,***RT @diana_bolocco: Se robaron muchas cosas, pero lo unico que de verdad me duele son mis fotos que estaban dentro de una camara. #devuelvan…
360614590826029056***,***@VertigoCanaI13 #alvarogomez
360610459449171969***,***Noooo #alvarogomez no SE puede irrr
360605764013920256***,***RT @franciniamaral: Vamos chiquillos porfaaaaa ya bajo un poco #alvarogomez ... hagamos q vuelva a estar en 1 ° lugar en twitter... ayudenm…
360605383909310464***,***#vertigo #alvarogomez #alvarogomez #alvarogomez
359168790442946562***,***@hectormorals buen capitulo¡¡¡¡ .felicitaciones
359141838994681856***,***Pidgin #SolteraOtraVez2
358220923519778819***,***YO SOY DONANTE DEORGANOSY TU???
357896210029363200***,***@JPQueralto gran valor gonzalo caceres me toco conocerlo y es un amor .. Ademas ese salto a esa edad uuf no cualquiera lo hace
357691644792938496***,***Fuerza para el padre de PUNTITO en su caminata por la justicia ayudarlo en su camino a dichat #tribunal
356896316917428225***,***Y yo podre ver #BarrioUniversitario @pedroruminot desde antofagasta saludos
355895980769542146***,***Viendo «el  hombre mas bello del mundo y le traen a la mujer mas bella de chile osea a la Luli
