647042826178535424***,***No hay periodista mas rica y tierna y aaaah todo me encanta @mxperez te amo &lt;3
644535083387457537***,***A todos los #Argentinos q se burlan del #terremoto les decimos q no se preocupen, LA COPA No se movio. #FuerzaChile http://t.co/Brj7qXWkGJ
644366607196811264***,***RT @jezaach: @Pulento_Dios no mas quiero dormir por favor #TerremotoChile
644366554650574848***,***RT @carocerons: @Pulento_Dios Deja de jugar al meneito...hay que dormir!
644365978718072832***,***#fuerzaChile yo los cuido #terremoto #tepaseo #chile
638182599941300224***,***Q wena volaita hermano hijo  @pelaorodrigorc te veo el domingo en #EnSuPropiaTrampa con el hermano John Funking
636975385851375620***,***RT @JaviArturo: @deeedyF ojala que el @Pulento_Dios quiera 😉
636270761074929664***,***Sin verguenza qlia #ElChilequeQueremos  sin esta vieja y su familia #bachellet #chile #TheClinic http://t.co/mR9iBGfnUg
619104431859212288***,***Buenos dias #Dios http://t.co/8Wgffif4gn
612026847233200128***,***Vidal si no haces un gol te vay a cagar a todo Chile #CopaAmericaChile2015 #vidal
611706673607110656***,***Chile va a ganar la Copa America cuando los jugadores se queden viendo el partido de los rivales y no tomando en un casino #CopaAmerica2015
611553309707628545***,***Y como Eliseo no tomaba y chocaba igual?  #CopaAmericaChile2015  #Vidal
589233105497653248***,***@SummerLoserBoy yonespero lo mismo pero nonse a quien se lo ruego
551775259570212865***,***@Magu__x la pregunta es q no hiciste ;)
551775108290052096***,***@Ale_Roldan cuando quieras hija
538793082251411456***,***"Levantate papito" #Teleton2014 #TeletonSomosTodos #Selfieton http://t.co/f1Z34uwFuo"
531210984401436672***,***@pinchudo_ yo no soy ese po yo mando a los bomberos pprte vio
526431278196088832***,***RT @cramireznaveas: Si @DiablaNortina y que el @Pulento_Dios no permita que sea algo mas...
522937542321393665***,***@LadyManson mejorecemis bendiciones
522937388738547713***,***RT @sotogonzalez1: @Pulento_Dios Sr. Aranda #Pelo HOLAMANDEME UN SALUDO DEL @Pulento_Dios YDE @sotogonzalez1 EN SU PROGRAMA
522937366122872832***,***RT @sotogonzalez1: @Pulento_Dios pulntisimimo ios un saludo al @_calentamiento @sotogonzalez1
522371057240801281***,***El q cacha cacha #TodoBienHastaQue  te descubren #bachellet #ctm http://t.co/8f1WXZotUT
490392209553100800***,***Asi no mas con la cosa http://t.co/ZcgdZZZVLN
486653090524045312***,***La violacion de Alemania a Brasil la puedes volver a ver en RedTube? @ANFPChile @Mundial2014Vivo @FIFAWorldCup #chile #laroja @MedelPitbull
483461128388083712***,***El heroe del mundial #caseli #LaRoja #brasil2014 #chilevsbrasil #Jara #larojasipuede #larojaesnuestra #LaRojadeTodos http://t.co/HvupibKI6r
481544084172316674***,***#ChileMeteMiedo @Pulento_Diablo @humanistajc @PitufiNon @La_Miss_R @IRICIO @TOCSHOWUCV @psicocity @volaochileno http://t.co/V7rHa1UI5Q
481134395978711041***,***Cuanta gente q habla como las weas se rie de los jugadores.
475863113506770944***,***Soy un incomprendido @Pulento_Diablo @humanistajc @PitufiNon @La_Miss_R @IRICIO @TOCSHOWUCV @psicocity @volaochileno http://t.co/QyMeEm14ha
473900427965399040***,***Jajajajajajajajajaja @Pulento_Diablo @humanistajc @PitufiNon @La_Miss_R @IRICIO @TOCSHOWUCV @psicocity @volaochileno http://t.co/gQVlxHiEYH
473897414462824449***,***Asi con la pasta @Pulento_Diablo @humanistajc @PitufiNon @La_Miss_R @IRICIO @TOCSHOWUCV @psicocity @volaochileno http://t.co/5BHsuJ2K3N
471692995923025920***,***RT @IRICIO: @Pulento_Dios @Pulento_Diablo @humanistajc @pitufinon @La_Miss_R UN TEMA PELUDO,PROFUNDO PERO =ES CHORO Q SE HABLE S/PELOS EN L…
471676514518700032***,***Y si la luz q vemos antes de morir es la salida de la vagina y nuestra nueva vida?
471676411443707905***,***@FerZuniga_ pregunar weas
471676138646167552***,***Y si la luz q vemos antes d morir es la salida de la vagina y nuestra nueva vida? @Pulento_Diablo @humanistajc @PitufiNon @La_Miss_R @IRICIO
468269935102550016***,***@alexandragodoyv  yo te bendigo linda.por guapa
468269580411240448***,***RT @MiaManson28: Gloria al @Pulento_Dios por la tartaleta de arandanos :)
468269559943020544***,***RT @FerZuniga_: Me fui por ese coctel. Espero hoy tener buenos resultados.  @Pulento_Dios ayudame en esta mision!
468269554746277888***,***RT @zapatistapedro: Una plegaria por mi, para que me vaya bien en un certamen =)))) haha @Pulento_Dios
462997958871359488***,***La historia d mi vida @Pulento_Diablo @humanistajc @PitufiNon @La_Miss_R @IRICIO @TOCSHOWUCV @psicocity @volaochileno http://t.co/O8Yr1VKsFF
462997709406756864***,***@Pulento_Diablo @humanistajc @PitufiNon @La_Miss_R @IRICIO @TOCSHOWUCV @psicocity @volaochileno aai con la juventud http://t.co/4zTsGOZNEQ
462991051918024704***,***Ganas de manegar @Pulento_Diablo @humanistajc @PitufiNon @La_Miss_R @IRICIO @TOCSHOWUCV @psicocity @volaochileno http://t.co/ckZqQssHfW
448886034726531073***,***El mundo se ca a la.mierda @Pulento_Diablo @humanistajc @PitufiNon @La_Miss_R @IRICIO @TOCSHOWUCV @psicocity http://t.co/JI2RIQjG2o
447831335495688192***,***Infamcia a la ctm en 3...2...1 @Pulento_Diablo @humanistajc @PitufiNon @La_Miss_R @IRICIO @TOCSHOWUCV @psicocity http://t.co/Pu4ycQQtU7
446717793723879424***,***Haceteunaspaltaspala11 #facilrapido @Pulento_Diablo @humanistajc @PitufiNon @La_Miss_R @IRICIO @TOCSHOWUCV @psicocity http://t.co/pU4oN78Jvx
445551620735004672***,***Final Fantasy Wallpapers | http://t.co/tZ7a5CYUur http://t.co/jB4Ch7oGQe
444155980406747136***,***Volvii
444155802677309440***,***RT @belenanziani: Ohhh ctm! Casi muero!! Jajaja buen temblor te mandaste @Pulento_Dios
444155495155113985***,***RT @LMoralesM: Oye @Pulento_Dios tay a puros peos locoo, teni a toos con paranoia
444155467141373952***,***RT @CataAvendano: @Pulento_Dios que hoy no tiemble por fa!!!
444155454633938945***,***RT @andresriverosg: @Pulento_Dios para la wea con los temblores
444155392994467840***,***@IRICIO @La_Miss_R @PitufiNoni @TOCSHOWUCV @Andreea_2m @humanistajc @Pulento_Diablo @MarianaBrunoOK me pullaron meando solo
442283884706013184***,***q raro es entrar a Twitter desde un pc ahora xd
441266103835037696***,***Jajaj mi hermano en un mes mas @Pulento_Diablo @humanistajc @La_Miss_R @PitufiNoni  @Cokiiloco @IRICIO @TOCSHOWUCV http://t.co/SqfjSuxIoa
441265699894218752***,***Sapbeeeee @Pulento_Diablo @humanistajc @La_Miss_R @PitufiNoni @volaochileno @Cokiiloco @IRICIO @TOCSHOWUCV @psicocity http://t.co/c7j1dJmVrU
441265160108249088***,***Y asi paso realmentr @Pulento_Diablo @humanistajc @La_Miss_R @PitufiNoni @volaochileno @Cokiiloco @IRICIO @TOCSHOWUCV http://t.co/SNux3ZEYCN
