671049225350852609***,***El poder detras del poder. El titere con el titiritero.
670675096089075712***,***La brecha #brechadigital cada dia se vuelve mas una brecha social.
670673519978668032***,***Como falta #Chavela y un mezcal.
670666336176050176***,***#GodBlessAmerica #Venezuela #Argentina #Colombia #Paraguay #Honduras #ElSalvador #Gustemala #Peru #Ecuador #Uruguay #Chile ...
670647331507863554***,***Respeto a quien sabe la diferencia entre el poder y el dinero.
670371867312709632***,***Feliz Navidad - Banco de la Republica sube a 5.50% la tasa de interes jo jo jo  #BlackFridayPobre
670371148803219456***,***#BlackFriday and tomorrow #BlackSabbath
670352047443730434***,***@jmmejiav Aun no debemos estar contentos con eso. #Decreto2025 ya se firmo deben ahora firmarse estos cambios.
670345575884300288***,***Nuestro regalo para @lunadavid no alcanza a llegar gracias al #Decreto2025 que el mismo firmo. CC: @MincomercioCo
670345343612137473***,***#BlackFriday todos comprando celular antes de que se imponga el malevolo #Decreto2025
670268313080111104***,***#CarpetaCiudadana la discusion debe ser amplia los ciber ciudadanos necesitamos participar que no pase como #decreto2025
670267689789743105***,***#CarpetaCiudadana la interoperabilidad debe ser mediante protocolos libres/abiertos.
670267086925635585***,***RT @luiscano: Se desconoce el porque la #CarpetaCiudadana de @Ministerio_TIC si hay otros productos de gobierno que hacen eso. https://t.co…
670266854141763585***,***#CarpetaCiudadana y las ofertas del #BlackFriday toda mi atencion en ellas hoy.
669983931106787328***,***Internet nunca olvida - #DigiFest2015
669983869702139906***,***#ElPrincipito jamas renuncia a una pregunta formulada. Imaginenlo en un mundo digital #DigiFest2015
669972563536322560***,***el reportero es usted y el noctambulo ... son copia de modelos de participacion que existen en otras latitudes #DigiFest2015
669971021231992833***,***Excelente que desde la academia se den espacios como #DigiFest2015 El mensaje somos una sociedad digital que requiere periodismo.
669968498915991552***,***#DigiFest2015 temas prohibidos en los medios tradicionales pueden tratarse y debatirse desde lo digital.
669963930861727748***,***#Digifest2015 - La justicia le hace caso a los "medios de comunicacion" tradicionales; Pronto le va a hacer caso a los "medios digitales".
669963653177876480***,***#Digifest2015 - Somos la nueva sociedad. Una sociedad digital, donde los contenidos y la informacion nos saturan y nos vuelven pasivos.
669961129821659136***,***Interesante el logo de #DigiFest2015 tiene un avion de papel como el de #Telegram - al parecer vivimos chuza2
669949449192538113***,***Dibujame un cordero digital ... llego #ElPrincipito
669663819602464768***,***RT @piratax007: Senador @JERobledo podria usted escucharnos respecto del #decreto2025?
669580434582454272***,***#NoalaViolenciadeGenero un poquito de historia https://t.co/9AtHCoJk1S #NiConElPetaloDeUnaRosa
669540057452183552***,***@NODAbogada podemos apoyarte con argumentos CC: @piratax007
669538528716460032***,***#NoalaViolenciadeGenero y ahora violencia digital de parte del gobierno frente a nuestras libertades #Decreto2025 y Uber #CambiaElChip
