670641479631548416***,***Para esta Navidad, San Antonio lucira novedosos adornos luminosos https://t.co/ofVlb0KHKs
670633913845321728***,***En San Antonio se realizo el ultimo Consejo Comunal de Seguridad Publica https://t.co/gC2NZxd59L
670633058182283264***,***RT @soychilecl: Abogado temuquense golpeo brutalmente al ex paciente @Teleton Victor Saiz :( https://t.co/hLknrcjuzu
670618816829747201***,***En Cartagena se realizaran una serie de actividades para ayudar a la Teleton https://t.co/PX6V04J3zh
670610377638592514***,***RT @soychilecl: [FOTOS Y VIDEO] Lo mejor del show de Cecilia Bolocco anoche en la #Teleton2015https://t.co/vCIxsBm3SJ https://t.co/mCDMZdu…
670603681062977536***,***Esta tarde San Antonio Unido sale con todo a enfrentar a Deportes Ovalle https://t.co/Am2Yr34sV1
670586206334373888***,***RT @soychilecl: [FOTOS] Emocionante regreso de Jorge Gonzalez a los escenarios. Revisa aca como fue: https://t.co/ZgBu7iTqnz https://t.co/d…
670581480863752192***,***[FOTOS] Revisa lo mejor del Mister Teleton 2015, donde @Ariel_Levy fue el ganador. https://t.co/5Sr2uv5ZYA https://t.co/RlrafaTX2L
670445102305775616***,***RT @soychilecl: Cathy Barriga: "Se me van las patitas cuando escucho la musica" #Teleton2015 https://t.co/WCy9SdDm6T https://t.co/jdFNPK8TYc
670439105994575872***,***RT @soychilecl: [FOTOS Y VIDEO] Belleza y reencuentro de ex pololos: asi fue la alfombra roja de la Teleton https://t.co/XvPWFZXkD2 https:/…
670427732942172160***,***RT @soychilecl: Cecilia Bolocco: "Maximo queria pasar en la alfombra roja conmigo" #Teleton2015 https://t.co/7AC0fRDFzT https://t.co/8kezBd…
670419139111071744***,***RT @soychilecl: Presidenta Bachelet en la Teleton 2015: "Estoy segura que vamos a cumplir la meta" https://t.co/E6gsmFOla4 https://t.co/Wn9…
670408095101751296***,***RT @soychilecl: [Streaming] Sigue la jornada inaugural de la Teleton 2015 https://t.co/E6gsmFOla4 https://t.co/GDt5Upf96x
670395865761251328***,***RT @soychilecl: [En vivo] Esta noche comenzara la Teleton 2015: se buscara recaudar mas de $28 mil millones https://t.co/E6gsmFOla4 https:/…
670385613347098624***,***RT @soytemuco: Multigremial de La Araucania se reunio con el ministro Burgos en Santiago https://t.co/cOlQsoiNgJ
670381878856192000***,***RT @soychilecl: La UDI no hablara de la situacion de Jovino Novoa hasta que su sentencia este "firme y ejecutoriada" https://t.co/2tAZhe2jEP
670357112229376005***,***RT @soychilecl: Ahora Sismologia corrige el temblor en Antofagasta a 6,2° Richter nuevamente https://t.co/bbJfD2vWIB https://t.co/0qqkQx8gqZ
670351520379088896***,***RT @soyantofagasta: Un sismo de 6.2° Richter sacudio esta tarde a la Region de Antofagasta https://t.co/CWEpunJVKj https://t.co/E9HzXrM8mV
670350777240588288***,***En San Antonio se preparan para la tradicional Feria del Libro https://t.co/zScAI3yrgc
670346417811169280***,***RT @soyquillota: El incendio forestal de Limache fue controlado: consumio 8,3 hectareashttps://t.co/e9O2yQeOIp https://t.co/uzTycz4X2J
670342820746645504***,***RT @soychilecl: [VIDEO] Rony Dance reaparece con show hot que enfurecio a la modelo Sandy Boquitahttps://t.co/JozRHc5eIg https://t.co/N64h…
670339872767549440***,***RT @soychilecl: [VIDEO] Benjamin Vicuna y su separacion con Pampita: "No hay mucha vuelta que darle"https://t.co/eJJPn0GhEV https://t.co/9…
670339396466376704***,***Las mejores fotos de la ceremonia de premiacion “Cuentame San Antonio” https://t.co/zHzed6iAV8
670339285464326144***,***RT @soychilecl: Siguenos en nuestra cuenta de Instagram y maravillate con las mejores imagenes de Chile https://t.co/8luSA4Q6kf https://t.c…
670338712912437248***,***RT @soychilecl: [VIDEO] Don Francisco insiste en el bullying a Lucho Jara: "No entiende que viene de animador y no de cantante" https://t.…
670336377293307905***,***RT @soychilecl: Tiroteo deja tres policias heridos en Coloradohttps://t.co/hKRZxzoRwm https://t.co/EknbiepklJ
670335882990387201***,***RT @soyosorno: Denunciante de Karadima vuelve a Osorno para reunirse con laicos opositores a obispo Barroshttps://t.co/mRXQTP7ag3 https://…
670334192346144769***,***RT @soychilecl: Reportan un tiroteo en las cercanias de una clinica en Coloradohttps://t.co/hKRZxzoRwm https://t.co/1DN6Ahov6t
670332120183799808***,***RT @soychilecl: Por fin se juntaron los actores de Carrusel tras 26 anoshttps://t.co/Qf7ee57EcT https://t.co/mrcn0eIUcf
670329821021478912***,***RT @soychilecl: [VIDEO] Don Francisco insiste en el bullying a Lucho Jara: "No entiende que viene de animador y no de cantante"https://t.c…
670327151942623232***,***RT @soychilecl: Alcalde de Recoleta dijo que se estudia formar una asociacion de farmacias municipaleshttps://t.co/0dTqXUQqm1 https://t.co…
670324866965442560***,***RT @soychilecl: [VIDEO] Hoy es el concierto tributo a Jorge Gonzalez: "Habra muchos clasicos" https://t.co/ZgBu7iTqnz https://t.co/LqYdR35…
670322321241088000***,***RT @soychilecl: Ciudadano Inteligente dijo que acuerdo entre Fiscalia y Novoa "rompe el principio de igualdad ante la ley"https://t.co/EE7…
670322080630620160***,***RT @soychilecl: Fiscalia califico como historico que se demostrara el financiamiento ilegal de campanas politicashttps://t.co/NDFk3EzGjt
670321748504637440***,***RT @soychilecl: [FOTOS] Las elecciones de la ANFP se postergaron para el 4 de enerohttps://t.co/DxHBtyVOIQ https://t.co/s5frAqMJ47
670319792151273472***,***RT @soychilecl: [VIDEO] La nueva tendencia de moda entre las famosas es ridiculamente facil de repetir en casahttps://t.co/ug8hp8DPvI
670317224981372929***,***RT @soychilecl: [VIDEO] Kramer lanzo video protagonizado por Luis Jara y Don Francisco para promocionar la Teleton https://t.co/jMASgzQ2vs
670314788057124865***,***RT @soychilecl: [VIDEO] Tribunal condeno a Jovino Novoa por delito tributariohttps://t.co/aZigVpXUFq https://t.co/6YL9To2QeO
670313478977114112***,***RT @soytemuco: Camioneros y Burgos a La Araucania: dice que no hay terrorismo y compran carros blindadoshttps://t.co/oelI91QTqr https://t.…
670313031704834048***,***17 embarcaciones artesanales recibieron nuevos equipos para la extraccion de jibia en San Antonio https://t.co/GWc3zuVP7f
670312942747930624***,***RT @soyquillota: Un incendio forestal ha consumido 4 hectareas en Limachehttps://t.co/e9O2yQeOIp https://t.co/iy41zolrMJ
670311085241720832***,***RT @soychilecl: [VIDEO] El pastor Soto llego gritando al tribunal que lo condeno a 300 dias de pena remitida por injurias https://t.co/ZTH…
670308731444469761***,***RT @soychilecl: No te olvides de la belleza de Chile. Sigue nuestro Instagram y encantate con #zoomchile en https://t.co/8luSA4Q6kf https:/…
670308401788952576***,***RT @soychilecl: [VIDEO] Jovino Novoa acepto acusacion de la Fiscalia y renuncio al juicio oralhttps://t.co/aZigVpXUFq https://t.co/gi9hoR9…
670306809941504000***,***RT @soychilecl: Los memes que dejo el divertido comentario de Yann Ivin en MasterChefhttps://t.co/NacSpeWQIc https://t.co/kgWCUCOidS
670305638224805888***,***En San Antonio se realizo la premiacion de la novena Olimpiada Ambiental Escolar https://t.co/RYUAtb6fZu
670305193037316096***,***RT @soychilecl: ¿Lo viste? Por fin se juntaron los actores de Carrusel tras 26 anoshttps://t.co/Qf7ee57EcT https://t.co/XIKskCYxSH
670302824094441476***,***RT @soychilecl: [FOTOS] Consejo de presidentes rechazo censura al directorio de la ANFPhttps://t.co/DxHBtyVOIQ https://t.co/LJ7TVwVLCZ
670302195330490368***,***RT @soychilecl: Companeros de Marcial Berrios le echaron la culpa de la muerte del subteniente Silva tras un asaltohttps://t.co/ERaXMvJ0fZ
670301320721637377***,***RT @soychilecl: En Espana dan por seguro que "Pep" Guardiola reemplazara a Pellegrini en el Manchester Cityhttps://t.co/BlqvX3zKcy https:/…
670286928336527360***,***RT @soychilecl: Caso Penta: Novoa debera pagar casi $7 millones por perjuicio fiscal que perpetro y 5 Unidades Tributarias Anualeshttps://…
670286707938500608***,***RT @soychilecl: Nadie esta comprando el Viagra femeninohttps://t.co/Z9GVscpXOF https://t.co/CRgJgYrNFZ
670285226334121985***,***RT @soychilecl: [VIDEO] Chahuan pidio tres anos de presidio remitido para Jovino Novoahttps://t.co/aZigVpXUFq https://t.co/zdeJIIVM8a
670283104913743872***,***Ayer se realizo la premiacion de la novena Olimpiada Ambiental Escolar en San Antonio https://t.co/RYUAtb6fZu
670283104825790465***,***RT @soychilecl: Las ganancias del cobre bajaron 47%: "Es una crisis puntual"https://t.co/yKwfqWw8Zc https://t.co/EXO08GfO0W
670281246212231170***,***RT @soychilecl: Los memes que dejo el divertido comentario de Yann Yvin en MasterChefhttps://t.co/NacSpeWQIc https://t.co/7Wxf04MTjF
670278545625739264***,***RT @soychilecl: ¿Aficionado a la fotografia? Revisa imagenes de todo Chile en nuestro Instagram https://t.co/8luSA4Q6kf https://t.co/V6XnmM…
670276263781801987***,***RT @soychilecl: El gobierno anuncio la entrega de un aguinaldo de $19 mil pesos para los pensionados https://t.co/Bar6XGwlsM https://t.co/…
670273483562184705***,***RT @soychilecl: [VIDEO] Comenzo la audiencia de juicio abreviado a Jovino Novoa por el caso Pentahttps://t.co/aZigVpXUFq https://t.co/b6NJ…
670273073577402368***,***RT @soyosorno: [FOTOS] Cocinaran una sandwich gigante en Osorno para apoyar a la Teletonhttps://t.co/8qhBCafetO https://t.co/55Oo76dVIb
670272238004867072***,***RT @soychilecl: En Espana dan por seguro que "Pep" Guardiola reemplazara a Pellegrini en el Manchester Cityhttps://t.co/BlqvX3i9l0 https:/…
