620794873818517504***,***Muy Pronto #MissLima 2015 inscribete!!! http://t.co/OSbkeoCC4x
618862395159638016***,***@Renzomadridtv http://t.co/M4vWlR4m7o
618861854572584960***,***Angie Arizaga http://t.co/q1etnkK4zx
470952291491921920***,***No se pierdan hoy el programa ola me Ase por canal 5 a las 2 pm en una super entrevista televisiva !!! http://t.co/giTfRfcW54
468310684393295873***,***Muy pronto 2 nuevas reinas naceran #MissLima &amp; #MissLimaTurismo  2014 y puedes ser tu inscribetePierre pflucker http://t.co/WvfX65HPkC
468309947449901056***,***Muy pronto 2 reinas naceran nuestras proximas reinas Miss Lima &amp; Miss Lima Turismo 2014Y esa reina puedes ser tu http://t.co/lR0fS7oFri
468307659620634624***,***@MathiasBrivio hola Mathias buenas noches me gustaria ponerme en contacto contigo para un evento gracias mi movil 999084401 gracias
468307331835781120***,***@LauHuarcayo hola Laura buenas noches me gustaria ponerme en contacto contigo para un evento mi movil 999084401 gracias
468306634226540545***,***@MiguelArce_ hola Miguel me gustaria ponerme en contacto contigo para un evento espero tu respuesta 999084401
468302324210098177***,***@gianotti5 hola me gustaria poder ponerme en contacto contigo para un evento gracias 999084401 pierre pflucker
366768279353688066***,***Chicas inscribanse al miss lima 2013
365672059071758337***,***@HelensanUgaz gracias reina
363686458194161664***,***Chicas todos los peruanos estamos realmente orgullosos de uds!!!!
363672173497425920***,***Diosss vamoss peruuu
363666589797089280***,***Vamoss peruuu!!!! Si se puedeeeee
363301725505323008***,***@Natalia_Malaga. Eres lo maximo!!!
363299082149703680***,***Biennn peruuu
363296667535024128***,***Diosss vamosss peruuuuuuu
363136774656512000***,***Muy pronto miss lima 2013
279049754623750145***,***@arizaga_a ANGIE TE ENVIO LA PUBLICIDAD DEL DESFILE DE MODAS DE ALTA COSTURA A BENEFICIO DE LOS NINOS CON CANCER!!! http://t.co/shyFxkSm
279049030590402560***,***@arizaga_a ANGIE TE PASO LA PUBLICIDAD DEL EVENTO A BENEFICIOS DE LOS NINOS CON CANCER ESTE DOMINGO 23 DE DIC http://t.co/psUYEc1A
279045338218758145***,***DESFILE DE MODAS DE ALTA COSTURA A BENEFICIO DE LOS NINOS CON CANCER UNIDOS LO PODREMOS LOGRAR!!! INGRESO LIBRE http://t.co/i2h3D0Xs
279044692673437696***,***DESFILE DE MODAS DE ALTA COSTURA A BENEFICIO DE LOS NINOS CON CANCER UNIDOS LO PODREMOS LOGRAR!!! INGRESO LIBRE http://t.co/9YwmHLog
279037964431028224***,***@ArizagaAngie ANGIE TE PASO LA PUBLICIDAD DEL EVENTO A BENEFICIO DE LOS NINOS CON CANCER http://t.co/9H8P8l9r
255441258829459456***,***Add me bb pin 21b223d0  pierre pflucker
255412097020751872***,***Armando mi nueva coleccion de alta costura
