670843527815954432***,***No tengo sueno wnn
670813552408723456***,***Prenderemos fuego al cieloooooo
670812424698773504***,***RT @eileen_atorres: Amo a la fraaaaaan👏🏻 #TeletonChile
670812178916761601***,***FRANNNNNNN❤😍😍😍
670789859980746752***,***RT @JjSandraa: Se puso buena la cosa😏
670778128646733824***,***Nadie sabra lo que pasa entre tu y yo, con el humo del cigarro y la luz del encendedor😏
670762140496756736***,***RT @conibhc: me carga que no me respondan wn
670761934015340544***,***Que risa lo que dijo la tia jese JAJAJAJAJAJ
670425695865208833***,***RT @PhraseDeMarley: Odio no saber que me pasa cuando se que me pasa algo.
670421722022170624***,***Tengo tanto que estudiar por diossss😞
670413912957976576***,***@Nacho_Ortegaaa 😞😞😞😞😞
670413058540478465***,***Soy muy ❤ de 👵🏻
670412920669491201***,***RT @13krisoye: #Teleton2015 https://t.co/v4zdqsXtpd
670392651909304321***,***RT @catalinabelenpc: QUIERO SUSHI
670377311741587456***,***RT @GranHoroscopo: Es dificil discutir con #TAURO porque #TAURO tiene aguante y no se cansa hasta que tires la toalla
670376714296557570***,***Que simpaticas las chiquillasss
670375568202969091***,***Ohhh wn no siento mis piernas
670341542188593152***,***@_JavieraV JAJSJSJSJSJS SI WN QJJSJSJSJS
670340637674328065***,***Que es bueno el librooo wn
670281159574687744***,***RT @fer15_rodriguez: Zapallo italiano♥.♥ @_china14
670274987052433408***,***Tan yo https://t.co/PsXcM5qHSZ
670175729561247744***,***RT @_JavieraV: quiero un abrazo 🙄
670056209639186433***,***Se me cierran solos los ojos🙄 adiosss
670050856096632834***,***Me seco el pelo y me voy a dormiiiiiiit
670048712027217921***,***Por mi dormiria todo el dia
670048468984012800***,***Maldita prueba
670048405499068416***,***Aaaa no que paja ir mnn
670047154761781248***,***RT @JavieraSR15: y te propongo que lo pienses dos veces que te tomes tu tiempo que lo hagamos lento
670040653959688192***,***Mnn es viernes y eso me hace mas que feliz
670040243488296961***,***A la hora que viene a webiar
670039518435803136***,***No se pero cuando la vi fue como 😍 mucha felicidad en mi ❤
670032771306401792***,***@eileen_atorres  si wn 😢
670029516979494913***,***@fer15_rodriguez @Camilapazq  gracias, ojalaaa 😢💘💘💘
670029045116100609***,***@fer15_rodriguez @Camilapazq  jajsjs tontita😞
670027741845184512***,***@fer15_rodriguez  callate que aparecera😞😞😞😞
670027480137400321***,***@fer15_rodriguez SI WNNNN me estoy murien222222
670027155741548546***,***Estoy muerien2 de tristezaaaa apreceeee palomita
670027028540821504***,***Si alguien ve a mi perrita es una akita😢😢😢
669817603284709376***,***RT @PalomaMonse: Usted para mi murio y yo con los muertos no hablo
669702451520475136***,***@eileen_atorres estamos conectadas
669702264756576258***,***RT @PedritoEngel: #Tauro satisfaccion en el punto G de la coneja. Aproveche la luna llena y A LO QUE VENGA 😈💪🏻💙
669702112599801856***,***@DaniielBulls jdkskdjdjdjsj🤔🤔
669702035395231746***,***Cuando sera ese dia que acepten tus padres nah nah nah nah
669701466316238848***,***@DaniielBulls UHHH bucha ando tan despistada gracias por recordarmelo
669701177324511233***,***@DaniielBulls JSJSJDJSJSJ🙄🙄🙄🙄
669700620660703232***,***@DaniielBulls mmmmmmmm martes AJSJSJSJS
669700153222291456***,***Estoy muerien2 de sueno bai
669684933263249412***,***Que simpaticuuuu
669680751256993792***,***Odio salir a las 5
669342949776470016***,***Estoy cagaita de sueno💤😢
669342149436133377***,***@SofiaVegaContre WIII yaaa😍😍💘
669341881332080640***,***Quiero ir a ver sinsajoooooi
669304649879560192***,***RT @franisidoraaa: le he tapado la boca a muchas personas que hablan de mi sin conocerme😌
669160558013374464***,***Maldita lluviaaaaaa
669100372443709441***,***No quiero mas clases wn🚫❌
668988759124418560***,***Que solo quiero darte un besooo te juro que no pido maaaas
668957929480003585***,***Tengo puro sueno
668951921659637760***,***RT @eileen_atorres: Ojala dormir y amanecer flaca, oblicuos bien marcados y un poco de calugas
668951875572654080***,***RT @ConiniCarrassco: falta la nada misma para salir de 🐮cioneeees😍😍😍😍😍💃🎊🎉☀🌊🌅
668941865941643264***,***😾😾😾
668941229774778368***,***Alimentamee
668941017232621568***,***Muy muy cansada estoy
668940565673877504***,***@eileen_atorres sigue buscando weas si esta facil nana💘
668940438984855552***,***mnn ojala me salga bien lo de artes😒
668939843938992128***,***Que pase luego la semana xfaaa
668939768219230210***,***Me dio hambreeeeeeeeee🤔
668939649658847233***,***@eileen_atorres  estamos daaaaaaadas🤔
668939509321613312***,***@eileen_atorres  insecto no cucaracha✋🏼
668939257629790208***,***@eileen_atorres es que antes de leermelo lo busque en google JSJSJSJS y me aparecio eso
668939093406019584***,***Alguien del curso dijo que era bueno el libro😣😣 lo matareeee
668880982691479552***,***RT @tauro_hn: #TAURO atrae a los demas cuando se lo propone, y puede bastar solo con una mirada...
668834576505159681***,***No quiero ed fisica que pajaaaaa
668834508247011328***,***Tengo hambreeeee
668623848984702977***,***😾😾
668623514694508544***,***Tengo mucho sueno😴💤
668622536389894144***,***Quiero vacaciones luegooo😣☀💘
668622405213007872***,***Uhhh me duelee😒
668622186089947136***,***RT @sebatierra: Amo los abrazos
668613389476831233***,***Ohhhh me habia quedado raja
668572986799181824***,***RT @ZodiacoRosa: #TAURO: testarudo, obstinado y duro, pero a a vez resistente, incansable y tenaz
668523870463348736***,***Intentalo a ver si encontraras uno como yo uno que llegue exactamente al puntoooo
668509623939375104***,***Hoy eh comido muchoi
668475865035091969***,***Me gustaba ver flapjack
668474691305259008***,***Que hace caloooooor
668474452167032837***,***@eileen_atorres @fer15_rodriguez JAJAJAJS CTMMM
668470144553848832***,***RT @holavillablanca: se han fijao que a veces donde hubo amor, ni un hola queda.
668450304770318336***,***RT @_belencilla__: Me encanta cuando las personas valoran las cosas😌💘
668167982850420737***,***RT @holavillablanca: tipico que cuando estay triste escuchai canciones que te hacen mierda.
668165285539631104***,***RT @franisidoraaa: quiero acampar
668163962035412992***,***Estoy esperando como wnaa jajajs
668163875787964416***,***RT @tauro_hn: #TAURO es muy fuerte por fuera, jamas imaginarias que sufren mas de lo que crees, no lo imaginas porque no te lo diran...
668103549092552705***,***RT @tauro_hn: La mujer #TAURO es muy independiente y tiene voluntad propia para hacer realmente lo que le de la gana, no necesita a NADIE p…
667939593438785536***,***No tengo suenoi😢😲
667918896234635264***,***🤔🤔🤔🤔🤔
667906489366003712***,***que pajaaaa wn
667901608269889538***,***Vere peliculas💘
667884146333761536***,***RT @Lorena_HK: Sin rencores, usted con lo suyo y yo con lo mio.
667845866317848576***,***Ando muy pegada con esa cancionnn🙄
667844701316382724***,***Que me duele la cabeza x la chucha😒
667510010793037824***,***RT @NicoleMotura: Que lindooo que una persona te ponga de buen humor
667469690197905410***,***🤔💘
667192539842244608***,***@franisidoraaa mal pensada😳 JAJSJJS❤💘
667192257783734272***,***Ya ahora si bai 💤💤
667192170844172289***,***@DaniielBulls 🙅🏻
667192092427476996***,***@franisidoraaa mas linda la tuya🙄
667192030863446016***,***@franisidoraaa JSJJS te amooo💘
667190072312274944***,***Que no hay nadie como yooooooo que te trate asi🎧
667189748981723136***,***@DaniielBulls eso jamas
667189486221139968***,***@DaniielBulls 🤔🤔🤔🤔🤔🤔💩
667189216120541184***,***@DaniielBulls mmm ya me esta dando sueno
667189125670375424***,***mg no tenerte de companero odioso de mrdd
667188983907155968***,***Muerde tu bocaaa que a mi me matas con esoooo
667188660249448448***,***Tienes todo mi odio 💩
667188555710603265***,***@DaniielBulls jajsjsjs  era hora ya jajsjs
667188046169833475***,***No te soporto sabelooooooo👈
667187944055283712***,***JAJAJAJA te odio ctm
667187863902134273***,***Natural*
667187784558489600***,***@DaniielBulls Ahsjsjsjsjdjdjxj💤
667187650961477632***,***Por ti yo vivo adicto algo naruraaaal
667187345364504576***,***Tuto ven a mi
667186481786691584***,***@DaniielBulls pero amo los fds💘
667186117154906112***,***Nunca dejare de odiar los jueves🙂
667185941027659776***,***Que risa en vdd
667185747066228736***,***Entiende q no ocupo eso 😜
667185531923599361***,***Me mandaran suspendida JAJSJSJ pta vidaaaa
667185337840586754***,***Me pasan cosas tan estupidas
667185284698791937***,***AY QUE VERGUENZA 😳😳😳
667185100392677376***,***@_cbjvlc__ ❤❤❤❤😚😚😚
667185048211320832***,***Carolina basta de ser pesada 🙄
667184920134033410***,***@_cbjvlc__  pero muxoooooo❤
667184836860354562***,***Aprovecha que ando amorosa ctm
667184729930792961***,***@_cbjvlc__  ❤❤❤
667184648036990977***,***@_cbjvlc__ yo te amu❣
667184535591895040***,***Tengo ganas de patinarlaaaaaaa🙄
667184358000861184***,***RT @OtarolaSeba: puta bida
667184322462527489***,***Deberia estar 💤
667184047790161920***,***Se parece dms
667183568389578752***,***@DaniielBulls  ya lo dijiste ajjsjsjs 🤔
667183051596808192***,***Me siento rara sin el tragus mnn si o si me compro el arito😢
667175161859321856***,***Dice que no me quiere pero siempre vuelve conmigo y asi no se puedeeeeeee🤔
667173903727505408***,***Amo algunas canciones de eminem
667173689683746817***,***@DaniielBulls jajsjsjsjsjsjsjajs 🤔
667171899307335680***,***JAJSJSJS fernanda qla qksksjsjjs
667171328206745604***,***Que risa en la mnn trivi enojado por los parlantes JAJSJSJ
667171022630690818***,***@DaniielBulls quizas 🤔
667170714143883264***,***@fer15_rodriguez basta 😡
667170632925319168***,***@DaniielBulls jajajsjsjs🤔🤔🤔
667169991339474944***,***@DaniielBulls en dnd? Ajjssjjsjs
667169643585544192***,***Ando amorosa
667169588338126849***,***@DaniielBulls  JAJSJSJSJS rayos
667169499460861952***,***Fernanda sabe que aun que me webees te amo 🤔😍
667169160313589761***,***@DaniielBulls bucha entonces es lunes
667169073273376769***,***Tengo que dormir temprano alguna vez en mi vida
667168736584081413***,***@DaniielBulls creo que domingo
667168658599342081***,***@matiaaaaas_DR nuuuuuu
667168581466128384***,***RT @stxfimansilla: ya no estamos en edad de quedarnos con las gaaaaanas
667168449760780288***,***Bajare todas las canciones❣
667168329803657217***,***Soy la que menos se pela fdw me da igual todo ajsjsjjs
667168133472497664***,***Mi mama se rio dnd le dije eso😏
667167970318286849***,***@fer15_rodriguez oye cortala enserio💩
667167808879509504***,***RT @LuisFeCHS: Me dan rabia las personas que confunden buena onda con joteo.
667166981762715648***,***JAJSJSJ me coloque roja oh
667161012181798912***,***El nico me pego sus cancionesss
667160188684738560***,***No te 🎣, bai👋🏼
667158631331307520***,***Necesito millones Ajsjsjsj enferma
667158541183025153***,***@Camilabgp_ @ks4ndoval  bueno❤
667158014982508544***,***@ks4ndoval @Camilabgp_  siempre gasto la plata en ciruelas o cocadas😢
667157548643065858***,***Una senorita no recuerda el lugar de los sucesos mala tuya si te enomaraste con un beso😚
667156329161736192***,***Mucho doloooooor
667132543645425664***,***RT @holavillablanca: andate a la chucha pero conmigo.
667121024295706624***,***RT @GranHoroscopo: #TAURO a veces es extremadamente protector con lo que quiere, algunos pueden confundirlo con posesivo, pero a veces solo…
667115567489425411***,***RT @catalinabelenpc: Las minas son care raja wn
667077337960312832***,***RT @franisidoraaa: yo creo que salgo de vacaciones y minimo una semana flojeando
666802406827663362***,***RT @tauro_hn: #TAURO conservara su mentalidad y su forma de pensar hasta que vea algo CLARO por lo que cambiarla
666799018178125824***,***RT @PhraseDeMarley: Valora la belleza de las cosas simples.
666787089539801088***,***Pensare en positivo 🤔
666786871754809344***,***Ojala mnn sea un buen dia 😏
666786769925443584***,***@DaniielBulls 🙄🙄🙄🤔
666786365502263296***,***@DaniielBulls no odioso
666786061817929729***,***@eileen_atorres   ❣❣
666785774940065792***,***@eileen_atorres  oye nana mnn dime music buena
666785663262568448***,***@DaniielBulls ajjsjsjsjjsjsjsjs🤔
666785491681976321***,***@eileen_atorres  mmm maravillosas🤔
666785290393165826***,***@eileen_atorres  y el fondo le pone🤔 creo que salio estupenda
666785162504642560***,***@DaniielBulls te sigo odiando
666784826045935616***,***Lo amo
666784681698947072***,***RT @MisterGallito: Jajajjaja  #VamosChileCTM https://t.co/COilVre6Hb
666784585427066881***,***RT @jjavipg: Ultimo tuit referente al partido: GODIN REQL
666784435518480384***,***@DaniielBulls jajsjsjs vdd 😏😹
666783997519884288***,***😢😢😢😢😢
666783604027052032***,***RT @AKliwa: No hay nada mas dificil que vivir sin ti... https://t.co/XvfKVkhDkm
666783547747901440***,***Odiados💩
666783443699634177***,***RT @_MatyC: Perdio Chile y mas encima manana al trabajo y a clases https://t.co/DcdjWuBDnN
666783331149852676***,***Mjr me voy al tuto
666783206449029120***,***Me mgto mucho esa foto con la eileen 🤔
666783030976057344***,***Puro que tengo tuto
666782753510301697***,***Quede asi 💔
666782674858713089***,***RT @jjavipg: Estoy con tragedia 😭💔
666782383614619648***,***Yaaaaaa bai
666782243415826432***,***@DaniielBulls AHHH vdd
666782149102673920***,***OHHHHH que rabia
666781849549688832***,***@DaniielBulls que dia es manana
666781549153681410***,***RT @Tortrul: Uruguayos y la ctm!!!!! #chile #campeon #VamosChileCTM https://t.co/toxC7JDBHz
666781491293257730***,***Y quede con las ganas de gritar gol
666781136618680325***,***RT @javierasolamnte: A Alexis ponganle  la camiseta del arsenal,  quizas  asi  juega mejor
666780739237752832***,***@DaniielBulls 🎁
666780037039980545***,***@DaniielBulls 🙄🙄🙄🙄🙄
666779753924399105***,***Lo unico que quiero es vacaciones 🤔🌞🏊🏻🌈
666779439372607488***,***Ya cambien la wea
666779249165119488***,***Humilladosss
666779008890216449***,***@DaniielBulls mmm 🤔💩
666778702689226754***,***@DaniielBulls si? 🤔
666778564189097984***,***OYE DEJATE CTM
666778376997371905***,***RT @alonelysunday: #VamosChileCTM Resumen del partido. https://t.co/xMwjUeQcHS
666778090916433920***,***RT @cotorebolledo: Marzo, traemelo de vuelta pronto. https://t.co/tcPScxRphc
666777895503835136***,***Si igual valen 🍄 🐭 qls
666777537062813698***,***@DaniielBulls se me habia olvidado grcs por recordarmelo otra vez
666777143930658819***,***RT @jgarrido_1: AGUANTE CHILE CONCHATUMADRE!
666777017816383488***,***@DaniielBulls odioso🖕🏿
666776853240246273***,***Que tanto pifean ctm
666776425626750982***,***RT @eileen_atorres: Hoy no se celebra nada, no se estudia, pura pena en el cora
666776318462312448***,***😡😡😡😡😡😡😡
666776257892376576***,***RT @AniSensuali: 😡 https://t.co/K63huQGHV7
666776062026719232***,***@DaniielBulls 💩🖕🏻🤗
666775906606841860***,***UNA MIEGGGGGDA
666775724901187588***,***Que miegda de partido
666775496412237824***,***Hoy no fue un buen dia 😞
666775393135943683***,***Pta vidaaaaa
666774933012422656***,***NOOOOOOOO ya cagamos
666774705966313473***,***Bai
666774624705847297***,***RT @scarletddelgado: JAJAJSJA que risa las weas que ponen
666774528907984896***,***@DaniielBulls ☝🏻☝🏻☝🏻☝🏻☝🏻
666774413564633088***,***oh ctm que rabia
666774350046101509***,***RT @eileen_atorres: Hueas pencas, ese arbitro y ver jugar a uruguay 🍄🍄🍄👎🏻
666774103999803393***,***NOS FUIMOSSS A LA B
666774051776544768***,***BUUUUUUUUUU
666773851859193856***,***RT @jjavipg: Partio' ql me tiene chata
666773771630563329***,***@DaniielBulls jajsjsjsjsjsj🙄🙄
666773529665396736***,***Se cae solo el wn tonto
666773411855749120***,***@DaniielBulls para que odiar 😏
666773185296261120***,***RT @7Ktablu7: Buen lienzo jajaja #VamosChile ⚽❤🏆 https://t.co/Fwo2ax0f6q
666772917640945664***,***Me da risa esta cara🤗
666772852696313860***,***@DaniielBulls jsjsjsjjsjsjsj🤗🤔
666772402970476545***,***@DaniielBulls mmm no hay razones 🤔🤔
666772103849447426***,***Quiero gritar un gol po
666771832784199680***,***💩
666771753130151937***,***RT @EnciclopediaCL: PARATE GODIN AMARICONAO CULIAO
