669355490653016064***,***@consstla buena buena
669355195113967617***,***@consstla no hay mas fotos , asi como mas decentes jajaja ?
669354910152962049***,***@consstla envidiosa !!
669354527938641920***,***@consstla jajajaja culia
663903423260160000***,***Volvi ctm
658039648233607168***,***Que fome eres procesal 🙄
657991877992554500***,***RT @Drogadosoy: Yo tratando de arreglar todo lo que hago. https://t.co/fpRsynk8UT
657989398491975680***,***@d_iegoc lindos dia sip
657989390543822853***,***Esas bailarinas de shamanes Hueon 👀😱, minas trigidas🤘🏻
657988227224195072***,***Buenisima noche con amigos + mi pollo💏
657609386781749248***,***@maluchoo que sexi 🤔
657609103582351360***,***Quiere lasana mami apurate ☹
657596222719590400***,***Soy una compradora compulsiva y ahora estan las consecuencias, puras mosquitas en la cuenta ☹🤔🛍
657595408613572608***,***@d_iegoc secundaria que te crei hight school musical jajjfndndkdnd
657595184524472320***,***RT @WillyWonkaDice: Configuraciones de brillo en iPhone:—No se ve ni verga. —Y Nos valen verga tus corneas.
657595117906370560***,***@SusanaAndreea nos engano a los dos y a la misma vez !
657594998603517953***,***Quiero lavar el auto, quien me viene ayudar ?
657594592523587584***,***@SusanaAndreea yo no queria pero alfinal lo mire igual 😭
657364601814786048***,***Como decir a una ex amiga que me devuelva mi carnet 🤔
657362258146775044***,***Bacan ya no me preocuparme de laboral 😎🤘🏻 pasado yaposssssss
657362098368966656***,***Hoy me saque un 7 en laboral , asumo Elias me soplo una 😢
657361936699518976***,***Rodare tanto sushi #hualpensushielbest
657361843187511296***,***Me carga poner tanto y recibir tan poco 🤐
657361607329251328***,***Vi muchas peliculas hoy 😍
657361560361390080***,***No quiero estudiar procesal
655914137202073600***,***Boom vai vai vai ven ven ven
655774411346345984***,***Quien me regala una lamina de vidrio 😢
655772511389548544***,***Ahora que esta limpio le veo todas sus pifias 😭😭😭😭😭
655772191942840320***,***Limpiando mi celu con un mini algodon y alcohol 😍
655585720866861057***,***Cuando van a entender que la cata solo necesita nanai😔
655585660686999552***,***@d_iegoc cata quiere nanai
655585475240054784***,***@d_iegoc ayudaaaa
655585439433256966***,***@d_iegoc si unos 3
655585395191750656***,***@d_iegoc ya 😢
655569275588096000***,***Lo unico rico del dia fue que llego mi papito 😭
655569211155226629***,***Pesimo dia 😔
655568992703238144***,***@d_iegoc 😟
655380978345578497***,***Que rico despertar con el ruido de la aspiradora 😥
654845878201663488***,***Nada mas romantico que te digan que volao se acuerdan de ti jajajajajjajajajajjaja chiao
654843781347463168***,***RT @EsSarcastico: #SenorSarcasmo 😎 http://t.co/WOYIe2vRu5
654843761193787393***,***RT @d_iegoc: con la cata pensamos igual hueon oh JAJAJAJJAAKA
654841720379711489***,***@carlonchitu ayyyy tranquiii!!
654841474958389252***,***@d_iegoc  Jajajaja te amo
654841320155029508***,***Odiando a los Geminis @d_iegoc http://t.co/6DLHQXOB5Z
654839065527885824***,***Ahora que me voy de claro nego 4g
654838902784684032***,***@d_iegoc yooooooo
654838827136241664***,***Hola estoy cura
654503549410373632***,***Manana salgo relativamente temprano ... Pero igual tengo que esperar hasta las 7
654503473816465408***,***Que paja las clases a las 9:30
654503115027292160***,***@macaarubio y a la catita Catril?
654099746290860032***,***Cuando llueve mi flojera aumenta en un 100%
654099591575531520***,***RT @Chiocokrispis: Te dice que no quiere nada serio y a la semana ya tiene novia. http://t.co/6w3ObFEXx2
654099518175244294***,***RT @Chiocokrispis: Estaba en facebook y sin querer vi todas tus fotos, las de tus amigos y las de los amigos de tus amigos. Oopsi.
654099443814408192***,***@d_iegoc si se
654099259101454336***,***Estoy comiendo pizza🍕 la amo
654099178931519488***,***Bu no me pudo cambiar a wom
653969419291467776***,***Dia ql quiero llorar de rabia
653968850917175300***,***@consstla malditos Geminis los odio 😡
653968753353486338***,***Dia ql!!!
653240737115570176***,***Si reuniera a todas las ex amigas que tuve, haria una tropa
653240296780746752***,***@CamiFernanda20 jjaja nanai💟
653240231076982785***,***En todo caso no lo puedo evitar, me encanta
653240112696950784***,***Algun dia dejare de webear con revisar instas y ver fotos
653239344887672832***,***Ya pero en fin, no es el lugar... Es la compania jajajajjajajaja yia
653239256152977408***,***Al final las discos nuevas prenden 3 semanas o 4 y cagan 😕
653239031199891456***,***El 23 es la gala Uss ... El 24 tengo un cumpleanos de gala jajajaja que shittttt
653238942435790848***,***Pero me asusta muchisimo que viaje 😞
653238835221032960***,***Mi papito lindo lo admiro dm❤🌟
653238759450918914***,***Me siento como con ganas de abrazar y no soltar mas... Si en esa onda
