671183772189106177***,***She and her face😀And I always smiling and cacheton😀😁 lol #Day #Relax… https://t.co/kl1AWXvP66
671176689922232321***,***@DiarioLaPrensa mi tio se fue de la nada😔 pero el esta en un mejor lugar donde hay alegria y no existe la tristeza. Te extrano💔#TioArmando😢😦
671175811051950080***,***RT @DiarioLaPrensa: #Honduras: Muere luego de tragarse palillo de un taco flauta -&gt; http://t.co/IrsrfrxCya http://t.co/fny1fVayi0
671167922421809152***,***La vida es corta, sonriele con ternura a quien llora, ignora al que critique y se feliz con quien te importa.
671122110580924418***,***RT @memes_edm: Y asi fue como nacio la musica de Skrillex. http://t.co/c4EdPcqDO4
670730912234086402***,***RT @ElNacionalWeb: Thanks for the recent follow @WanderRDS @_RichardMachado @NotiHatillo Happy to connect :) have a great Friday. (via http…
669742372670967808***,***RT @WalYDiony: @_RichardMachado Saludos hermano! Gracias por tu apoyo incondicional... Un abrazo de Colombia para Honduras
669742359412887552***,***@WalYDiony mi hermano usted sabe para que estamos el #Apoyo eso cuenta conmigo hermano!! Ustedes son los duros de #Colombia
669648632275185664***,***#Chekea #VideoLiryc #Sentimiento de @WalYDiony  https://t.co/FkDygJ1EJs
669296292263288832***,***RT @WalYDiony: En menos de 3 meses sobrepasamos las 3000 reproducciones con nuestro sencillo #Sentimientos 185… https://t.co/qROfnl0sNS
669293247378948096***,***RT @MIGUELITOMTO: #MiguelitoUnaEnUnMillon (Official Video)🎥 @SonyMusicLatin #UnaEnUnMillon  https://t.co/Z5TKWZsZhX
669292544719765504***,***Una en un Millon - Single by @MIGUELITOMTO #UnaEnUnMillon ya salio! Ya la pueden comprar! @SonyMusicLatin  https://t.co/0ufQPrDgV0
668517972986712064***,***RT @wg_tbk: Video completo en Facebook Walddys Gomez @wg_tbk dedicado para promotor musical @_richardmachado @wg_tbk https://t.co/PGBUoYHtA7
667877211710611456***,***RT @iArthur_DJ86: @_RichardMachado Sure i will send you the links, thanks buddy
667876261478428672***,***@iArthur_DJ86 Brilliant! When you take your topics you send them to me I have to hear you're a good musician friend
667875883168960512***,***RT @iArthur_DJ86: @_RichardMachado I think mid December
