646807565062553600***,***Estoy aburrido
645270925122904064***,***Las Tipicas Mentiras De Los Padres | Hola Soy German #Germannuevovideo #Germanuevovideo https://t.co/sdr9MxK5XA
640660554437275648***,***I’m ready to engage with my 5 new followers in the past day. I know them via http://t.co/M74flE4qxq
639386870242242560***,***I gained 9 followers in the last day. You? Know your stats and grow with http://t.co/M74flE4qxq
638652604071964672***,***estoy muy cansao😔
638652005741928449***,***otro dia saliendo a las 7😒
634181004073259008***,***amo dormir😻😔
634180834598195200***,***tengo muchas guias por hacer😓😁
633761971305861121***,***no quiero pruebas😢
633761869778558976***,***prueba de ciencias, una mierda😔
624697237596176384***,***ame ir a la nieve💘 https://t.co/Tdb69Fr45g
624253126229553152***,***me encanta la ale!!💘💘 saludos a la amelia #intrusosmepesca @intrusoslared
602272626514485248***,***@TheBestyChile es el wuarique
572403322843471872***,***@Bienvenidos13 @TonkaTP @rubionatural  como me ira en los estudios y en amistad? soy cancer
572402547610284032***,***@Bienvenidos13 @TonkaTP @rubionatural #horoscopobienvenidos Como me ira en los estudios y en la amistad? soy cancer
563325289867280385***,***me siento mal:(
562968854864080897***,***RT @chilevision: Hombre viajo mas de mil kilometros para adoptar a cachorro que nacio con solo dos patas → http://t.co/YX9LQZXzpz http://t.…
467696243326861312***,***RT @doowopslarry: @BrunoMars I have no idea what you're talking about
