557176607337906176***,***He publicado una foto nueva en Facebook http://t.co/qKCffBiYPd
556894981676597248***,***¡SALSA REPIQUETEA!http://t.co/3vTMwmZJka http://t.co/chhygNbaic
556894570030829569***,***PARA ACOMPANAR EL DOMINGO...TE PRESENTAMOS NUESTRA SELECCION SALSERA:... http://t.co/R7pmmWEZbW
556758497065701376***,***NUESTROS CANALES Y PERFILES EN:https://t.co/jnUXB7xvrZhttps://t.co/1eBXwyDzShhttps://t.co/EI6PFUm63ahttps://t.co/RxNrMpY2kG
556752542684958720***,***¡HOLA SALSERAS/OS!Si quieres recibir a tu correo electronico nuestras noticias por favor envianos un mensaje a... http://t.co/KAlBs66qF5
556742133718462464***,***TE INVITAMOS A UNIRTE A NUESTROS CANALES Y PERFILES EN:https://t.co/jnUXB7xvrZ... http://t.co/K7a9HvMCNT
556742012750536704***,***TE INVITAMOS A UNIRTE A NUESTROS CANALES Y PERFILES EN:https://t.co/jnUXB7xvrZ... http://t.co/bwNRDN6v27
556016412129374208***,***Me ha gustado un video de @YouTube de @dannysalsaf (http://t.co/Dqs020tLSi - Bush y Su Nuevo Sonido Descarga Bush Programa TV
556015974202105856***,***Me ha gustado un video de @YouTube (http://t.co/HZwtAkJn8b - CAMILO RODRIGUEZ - PARE COCHERO).
556014857539952641***,***Me ha gustado un video de @YouTube de @dannysalsaf (http://t.co/RtH1UXEBtR - Una De Las Ultimas Entrevistas a Ismael Rivera El
555993402819362816***,***Me ha gustado un video de @YouTube de @orq_palo_mayor (http://t.co/EZIF1chzQ7 - YENYERE SE PRENDIO LA RUMBA- ORQUESTA PALO MAYOR.).
555991312286375937***,***LIBRO: CUERPO Y CULTURA, LAS MUSICAS ‘MULATAS’ Y LA SUBVERSION DEL BAILE... http://t.co/nyrOg2omEG
555979546579582976***,***Me ha gustado un video de @YouTube (http://t.co/LJgJPMbPCo - Benicia Cardenas | Para Tocar y Bailar).
555643277303492608***,***VIDEOS: SENTIMIENTO SALSERO Y CREATIVIDAD EN LAS CALLES DE CALI, COLOMBIA... http://t.co/DUoZKSJv6j
555609261372612608***,***NUESTRO PERFIL EN TWITTERhttps://t.co/RxNrMpY2kG http://t.co/JG7QblqFem
555453362117050369***,***NUESTRO CANAL EN YOUTUBEhttps://t.co/EI6PFUm63a http://t.co/WhnUHe4EHf
