648217589395648513***,***@liizethhmona wooooo antigua
646164479852564480***,***@nunezjoaquin al momento de los quiuvos  nadie evscuara
645781238058479616***,***#antofagasta por que #movistar me siguen llegando mensaje del #choa para evacuar??? Alguien sabe por q
645723212333060096***,***@emporioquesoyol  queso del campo ???
645679371114684416***,***“Colombia se ha transformado en una exportadora neta de pobreza hacia #antofagasta y  #calama
640941989236768768***,***Alguna contadora general #calama mandar curriculum
635651461549031424***,***@FleximinLtda  toma nota y contactarme MD  gracias
635651123718828032***,***Quien sabe si se pueden borra los partes de la hoja de vida conductor #Antofagasta
634170484846817280***,***RT @vayanse_todos: @andespi1984 Y QUE PASA CON EL MOBILIARIO URBANO DANADO? Quien lo repone? @AntofagastaTV #Antofagasta
621502570952032256***,***#calama quien va a murano
621497394782437376***,***@Karlipaty  donde dejas #PuntaArenas
612441635155222528***,***@Chio_nat  una cita xd
612440885163360260***,***#puntaarenas alguna chiquilla buena honda que lleve a ver este antofagastino ver la ciudad de noche
612414341955125248***,***@c0nstanza @FranDanae xd son varias
608287156612808704***,***@Cpaez75 eres de  calama.
608286800914862080***,***#Antofagasta quien  sabe de un dato de trasporte  serio en #calama
608282686873071618***,***#calama alguien sabe de un trasporte de carga de calama  a faenas que tenga pega estable
608085501283848192***,***#calama quien sabe de empresas de camiones 3/4 y rampas traslado de materiales a faenas
606496741647634432***,***#puntaarenas hola mi unen sabe de buena comida casera a domicilio
606153631210053632***,***@Jorge_Antof hacen despacho a regiones
606148460992151552***,***#calama Quien  sabe una empresa que arriende maquinas de cafe  para oficinas en calama o. #Antofagasta con  Disponibilidad
606075055060230144***,***#Antofagasta consulta es legal el bingo q realizara la escuela D59 sabado segun director esta autorizado por la presidencia @AntofagastaTV
605540227130769408***,***#Antofagasta quien sabe la escuela D59 aprobaron el bingo de este sabado segun director lo aprobo la #controlaria @AntofagastaMuni
602936806670278656***,***#calama algun ejecutivo #Entel
602553737480171521***,***hola quien sabe de una tienda empresa que arriende maquina cafetera en #calama #Antofagasta  gracias
600992334751342592***,***#puntaarenas buenos dias  aun. No me  acostumbro a este clima jajajaja
600619045218549761***,***RT @Luz_Carimoney: Buen dia!!!! Animo y sonrisas para hoy!!! #puq #PuntaArenas  #FelizMartes
600459863144161280***,***@camidubidu y se queja JAJAJAJA y to puro frio aqui en #puntaarenas #antofagasta esta caribena xd
600242027863879680***,***#puntaarenas buenos dias mi primer dia en esta ciudad espero no cargarme de frio ya que soy medio caribeno se #antofagasta
598693204767145984***,***#antofagasta #calama #iquique #Copiapo hay que terrible una imagen dice muchas cosas que mil palabras http://t.co/f5DNGBz76J
598125029335945216***,***#antofagasta quien sabe algo bueno para la gripe o resfrio , moco estornudo
596889700054466560***,***@prisita_paz hola consulta sobre antofagasta y necesito saber como es el clima para ver que tipo de ropa llevo xd
596888340982534147***,***estimados voy a viajando a #puntaarenas desde #antofagasta y necesito saber como es el clima para llevar ropa adecuada
596886031951081472***,***@PameCatherine yo a los weones que se estacionan en mi estacionamiento  les tiro dos huevo santo remedio
592519323782127617***,***#antofagasta que  tiene los numero de carabinero plan cuadrante
591609979972558848***,***RT @Guaton_10: Tranquilos Colocolinos,  yo me voy a desquitar por ustedes culeandome alguna colombiana del Chika's bar #Antofagasta
591202475006386176***,***#volcancalbucomega http://t.co/WdEVhEFkvk
